Program ID,University,Program,Level,Language,Start Date,Tuition Covered,Accomodation covered?,Living Expense Covered?,Tuition fees to pay,Original Tuition fee,Accomodation to pay,Living expense to pay,School Logo
43,SIAS University,Economics,Bachelor,Chinese,"Aug,2023","RMB12,900",Yes,No,9950,19900,2000/year,1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
44,Wenzhou University,Mechanical Engineering,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
45,Wenzhou University,Marketing,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
46,Wenzhou University,Law,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
47,Wenzhou University,Business Administration,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
48,Wenzhou University,Chemical Engineering and Technology,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
49,Wenzhou University,Civil Engineering,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
50,Wenzhou University,Biotechnology,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
51,Wenzhou University,Computer Science and Technology,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
52,Wenzhou University,Chinese Language and Literature,Bachelor,Chinese,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
53,Wenzhou University,International Economics and Trade,Bachelor,English,"Sep,2023",0-22000,No,No,"0-14,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
54,Jinzhou Medical University,MBBS,Bachelor,English,"Sep,2023",6000,No,No,"32,000","38,000",About 4500 - 6500 RMB/year,About 700-1500 RMB/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
55,Zhejiang University of Science and Technology,Industrial Engineering(Chinese-German Cooperative Program),Bachelor,German,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
56,Zhejiang University of Science and Technology,Data Science and Big Data Technology,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
57,Zhejiang University of Science and Technology,Digital Media Technology,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
58,Zhejiang University of Science and Technology, Civil Engineering(Chinese-German Cooperative Program),Bachelor,German,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
59,Zhejiang University of Science and Technology,International Economics and Trade,Bachelor,Chinese,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
60,Zhejiang University of Science and Technology,Computer Science and Technology,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
61,Zhejiang University of Science and Technology,Food Science and Engineering,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_104.png
62,Zhejiang University of Science and Technology,International Business,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
63,Zhejiang University of Science and Technology,Robotics Engineering,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
64,Zhejiang University of Science and Technology,Chinese Language and Literature (Business Chinese),Bachelor,Chinese,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
65,Zhejiang University of Science and Technology,International Economics and Trade,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
66,Zhejiang University of Science and Technology,Communication Engineering,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
67,Zhejiang University of Science and Technology,Civil Engineering ,Bachelor,English,"Sep,2023","20,000",No,No,0,"15,000-18,000",400-1200RMB/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
68,Zhejiang University of Science and Technology,Communication Engineering,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
69,Zhejiang University of Science and Technology,International Economics and Trade,Bachelor,Chinese,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
70,Zhejiang University of Science and Technology,Industrial Engineering(Chinese-German Cooperative Program),Bachelor,German,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
71,Zhejiang University of Science and Technology, Civil Engineering(Chinese-German Cooperative Program),Bachelor,German,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
72,Zhejiang University of Science and Technology,Digital Media Technology,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
73,Zhejiang University of Science and Technology,Data Science and Big Data Technology,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
74,Zhejiang University of Science and Technology,Computer Science and Technology,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
75,Zhejiang University of Science and Technology,Chinese Language and Literature (Business Chinese),Bachelor,Chinese,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
76,Zhejiang University of Science and Technology,Robotics Engineering,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
77,Zhejiang University of Science and Technology,Food Science and Engineering,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
78,Zhejiang University of Science and Technology,International Economics and Trade,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
79,Zhejiang University of Science and Technology,International Business,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
80,Zhejiang University of Science and Technology,Civil Engineering ,Bachelor,English,"Sep,2023","15,000-18,000",No,No,"0-9,000-","15,000-18,000",About 1500/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
81,Ningbo University,German,Bachelor,Bilingual,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
82,Ningbo University,Japanese,Bachelor,Bilingual,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
83,Ningbo University,Law,Bachelor,Chinese,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
84,Ningbo University,German,Bachelor,Bilingual,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
85,Ningbo University,Japanese,Bachelor,Bilingual,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
86,Ningbo University,MBBS,Bachelor,English,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
87,Ningbo University,History,Bachelor,Chinese,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
88,Ningbo University,Financial Engineering,Bachelor,English,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
89,Ningbo University,Law,Bachelor,Chinese,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
90,Ningbo University,Financial Engineering,Bachelor,English,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
91,Ningbo University,History,Bachelor,Chinese,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
92,Ningbo University,"Mechanical Design,Manufacturing & Automation",Bachelor,English,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
93,Ningbo University,International Economy and Trade,Bachelor,English,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
94,Ningbo University,Business Administration,Bachelor,English,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
95,Ningbo University,English,Bachelor,English,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
96,Ningbo University,MBBS,Bachelor,English,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
97,Ningbo University,Accounting (CPA Canada),Bachelor,English,"Sep,2023",10000,No,No,8000 - 28000,"18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
98,Ningbo University,"Mechanical Design,Manufacturing & Automation",Bachelor,English,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
99,Ningbo University,English,Bachelor,English,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
100,Ningbo University,International Economy and Trade,Bachelor,English,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
101,Ningbo University,Accounting (CPA Canada),Bachelor,English,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_126.png
102,Ningbo University,Business Administration,Bachelor,English,"Sep,2023","20,000",No,No,"0-18,000","18,000-38,000",About 4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
103,Mianyang Teachers’ College,(1+3)Physics,Bachelor,Bilingual,"Sep,2023",6000,Yes,Yes,0,6000,0,,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
104,Mianyang Teachers’ College,(1+3)Computer Science and Technology,Bachelor,Bilingual,"Sep,2023",6000,Yes,Yes,0,6000,0,,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
105,Xi'an Shiyou University,Geology,Bachelor,English,"Sep,2023","5,000-18,500",0-7500,No,"0-13,500","15,500-18500","3000-75000-7500Living Expense: around 1000/month, depends on yourself","around 1000/month, depends on yourself",https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
106,East China University of Political Science and Law,Political Science,Bachelor,Chinese,"Sep,2023",24000-40000,Yes,Yes,0,24000-40000,0,,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
107,Northeast Forestry University,Japanese,Bachelor,Chinese,"Sep,2024",Yes,Yes,No,0-8250 RMB,16500,0-1000/month,1500/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
108,Fujian Medical University,MBBS in English ,Bachelor,English,"Oct,2023",35000,No,No,0,35000,4000,200,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
109,Shanghai University of Traditional Chinese Medicine,Traditional Chinese Medicine,Bachelor,Chinese,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
110,Shanghai University of Traditional Chinese Medicine,Clinical Integrative Chinese & Western Medicine ,Bachelor,English,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
111,Shanghai University of Traditional Chinese Medicine,Acupuncture and Tuina,Bachelor,Chinese,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
112,Shanghai University of Traditional Chinese Medicine,Nursing,Bachelor,Chinese,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
113,Shanghai University of Traditional Chinese Medicine,TCM Pharmacology,Bachelor,Chinese,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
114,University of Nottingham Ningbo China,BSc Computer Science with Artificial Intelligence,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
115,University of Nottingham Ningbo China,BEng Electrical and Electronic Engineering,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
116,University of Nottingham Ningbo China,BSc Mathematics with Applied Mathematics,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
117,University of Nottingham Ningbo China,BEng Product Design and Manufacture,Bachelor,English,"Sep,2024",,No,No,0-,"110,000","Tuition: 110,000 0-110,000","Tuition: 110,000 0-110,000",https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
118,Sanquan Medical College,Biotechnology,Bachelor,English,"Sep,2023",18000,No,No,3000,18000,4500RMB/Year,1000RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
119,Sanquan Medical College,Bio-pharmaceuticals,Bachelor,English,"Sep,2023",18000,No,No,3000,18000,4500RMB/Year,1000RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
120,Sanquan Medical College,Bio-pharmaceuticals,Bachelor,English,"Mar,2024",18000,No,No,3000,18000,4500RMB/Year,1000RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
121,Sanquan Medical College,Clinical Medicine,Bachelor,English,"Sep,2023",18000,No,No,3000,18000,4500RMB/Year,1000RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1386.png
122,Sanquan Medical College,Pharmacy,Bachelor,English,"Sep,2023",18000,No,No,3000,18000,4500RMB/Year,1000RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
123,Sanquan Medical College,Biotechnology,Bachelor,English,"Mar,2024",18000,No,No,3000,18000,4500RMB/Year,1000RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
124,Sanquan Medical College,Clinical Medicine,Bachelor,English,"Mar,2024",18000,No,No,3000,18000,4500RMB/Year,1000RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
125,Sanquan Medical College,Pharmacy,Bachelor,English,"Mar,2024",18000,No,No,3000,18000,4500RMB/Year,1000RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
126,Fujian Medical University,Clinical Medicine,Bachelor,Chinese,"Sep,2024",28000,No,No,0,28000,4000,200,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
127,Wenzhou University,Business Administration,Bachelor,English,"Sep,2023","20,000",No,No,"0-2,000","18,000-20,000",4000/year,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
128,Mianyang Teachers’ College,(1+3)Computer Science and Technology,Bachelor,Bilingual,"Sep,2023",6000,No,No,0-3000,6000,1600RMB/Year,100-200RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
129,Mianyang Teachers’ College,(1+3)Physics,Bachelor,Bilingual,"Sep,2023",6000,No,No,0-3000,6000,1600RMB/Year,100-200RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
130,Mianyang Teachers’ College,(1+3)Electronic Information Science and Technology,Bachelor,Bilingual,"Sep,2023",6000,No,No,0-3000,6000,1600RMB/Year,100-200RMB/Mont,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
131,Shanghai University of Traditional Chinese Medicine,Rehabilitation Therapeutics (Physiotherapy),Bachelor,Chinese,"Sep,2024","12,000",No,No,"16,000-30,000","28,000-42,000",400-1600/month,About 1000/month,https://www.cucas.cn//resource/new/images/school/logo/logo_1360.png
